shapes,shape_id,X,Y
,STN_shape6,620,282
,STN_shape6,620,272
,STN_shape6,618,260
,STN_shape6,613,252
,STN_shape6,610,249
,STN_shape6,610,244
,STN_shape6,604,242
,STN_shape6,587,233
,STN_shape6,587,240
,STN_shape6,589,243
,STN_shape6,588,254
,STN_shape6,587,267
,STN_shape6,585,285
,STN_shape6,577,300
,STN_shape6,571,313
,STN_shape6,562,329
,STN_shape6,550,342
,STN_shape6,543,349
,STN_shape6,540,351
,STN_shape6,536,353
,STN_shape6,530,354
,STN_shape6,524,361
,STN_shape6,518,366
,STN_shape6,511,371
,STN_shape6,497,376
,STN_shape6,491,380
,STN_shape6,478,386
,STN_shape6,464,390
,STN_shape6,451,394
,STN_shape6,440,397
,STN_shape6,432,398
,STN_shape6,423,399
,STN_shape6,416,400
,STN_shape6,407,400
,STN_shape6,403,400
,STN_shape6,394,400
,STN_shape6,388,400
,STN_shape6,376,398
,STN_shape6,369,395
,STN_shape6,360,391
,STN_shape6,347,385
,STN_shape6,336,384
,STN_shape6,328,384
,STN_shape6,322,386
,STN_shape6,310,389
,STN_shape6,295,393
,STN_shape6,284,395
,STN_shape6,265,396
,STN_shape6,254,398
,STN_shape6,244,396
,STN_shape6,234,395
,STN_shape6,228,395
,STN_shape6,219,386
,STN_shape6,209,377
,STN_shape6,204,379
,STN_shape6,199,376
,STN_shape6,190,372
,STN_shape6,176,361
,STN_shape6,164,345
,STN_shape6,154,330
,STN_shape6,148,326
,STN_shape6,134,314
,STN_shape6,129,312
,STN_shape6,122,305
,STN_shape6,115,295
,STN_shape6,110,282
,STN_shape6,109,260
,STN_shape6,110,245
,STN_shape6,107,240
,STN_shape6,105,242
,STN_shape6,101,246
,STN_shape6,98,250
,STN_shape6,100,265
,STN_shape6,99,271
,STN_shape6,97,273
,STN_shape6,98,278
,STN_shape6,100,284
,STN_shape6,100,304
,STN_shape6,109,311
,STN_shape6,115,314
,STN_shape6,123,313
,STN_shape6,132,323
,STN_shape6,136,324
,STN_shape6,149,335
,STN_shape6,162,351
,STN_shape6,173,364
,STN_shape6,182,370
,STN_shape6,192,376
,STN_shape6,191,378
,STN_shape6,189,379
,STN_shape6,178,374
,STN_shape6,163,369
,STN_shape6,148,359
,STN_shape6,133,344
,STN_shape6,125,337
,STN_shape6,122,332
,STN_shape6,122,329
,STN_shape6,114,322
,STN_shape6,105,317
,STN_shape6,94,313
,STN_shape6,93,316
,STN_shape6,96,320
,STN_shape6,96,338
,STN_shape6,96,341
,STN_shape6,96,343
,STN_shape7,9,237
,STN_shape7,16,234
,STN_shape7,50,222
,STN_shape7,68,216
,STN_shape7,81,211
,STN_shape7,86,213
,STN_shape7,83,217
,STN_shape7,77,225
,STN_shape7,64,232
,STN_shape7,55,236
,STN_shape7,43,241
,STN_shape7,35,245
,STN_shape7,28,251
,STN_shape7,24,257
,STN_shape7,23,262
,STN_shape7,21,264
,STN_shape7,31,263
,STN_shape7,46,263
,STN_shape7,59,264
,STN_shape7,68,266
,STN_shape7,75,268
,STN_shape7,83,270
,STN_shape7,91,273
,STN_shape7,94,274
,STN_shape7,98,272
,STN_shape7,98,261
,STN_shape7,96,253
,STN_shape7,89,251
,STN_shape7,83,253
,STN_shape7,77,255
,STN_shape7,63,254
,STN_shape7,48,253
,STN_shape7,47,249
,STN_shape7,56,248
,STN_shape7,76,243
,STN_shape7,87,238
,STN_shape7,96,235
,STN_shape8,87,248
,STN_shape8,100,240
,STN_shape8,110,227
,STN_shape8,123,214
,STN_shape8,122,208
,STN_shape8,127,201
,STN_shape8,132,193
,STN_shape8,138,183
,STN_shape8,142,174
,STN_shape8,140,164
,STN_shape8,134,158
,STN_shape8,129,156
,STN_shape8,115,162
,STN_shape8,105,168
,STN_shape8,90,175
,STN_shape8,82,180
,STN_shape8,70,184
,STN_shape8,55,188
,STN_shape8,34,194
,STN_shape8,16,198
,STN_shape8,2,199
,STN_shape9,89,249
,STN_shape9,93,251
,STN_shape9,97,251
