shapes,shape_id,X,Y
,VIM_shape5,181,357
,VIM_shape5,170,349
,VIM_shape5,165,346
,VIM_shape5,158,340
,VIM_shape5,155,331
,VIM_shape5,153,327
,VIM_shape5,151,324
,VIM_shape5,146,318
,VIM_shape5,143,314
,VIM_shape5,138,310
,VIM_shape5,145,320
,VIM_shape5,146,322
,VIM_shape5,147,324
,VIM_shape5,150,329
,VIM_shape5,151,333
,VIM_shape5,154,340
,VIM_shape6,387,145
,VIM_shape6,375,142
,VIM_shape6,369,143
,VIM_shape6,367,150
,VIM_shape6,367,160
,VIM_shape6,368,166
,VIM_shape6,369,169
,VIM_shape6,377,170
,VIM_shape6,379,163
,VIM_shape6,386,159
,VIM_shape6,386,159
,VIM_shape6,391,155
,VIM_shape6,395,151
,VIM_shape6,392,146
,VIM_shape6,388,145
,VIM_shape6,387,145
,VIM_shape7,382,177
,VIM_shape7,371,175
,VIM_shape7,369,179
,VIM_shape7,369,183
,VIM_shape7,367,184
,VIM_shape7,364,182
,VIM_shape7,363,176
,VIM_shape7,357,175
,VIM_shape7,360,181
,VIM_shape7,360,188
,VIM_shape7,360,193
,VIM_shape7,360,198
,VIM_shape7,360,199
,VIM_shape7,364,213
,VIM_shape7,365,222
,VIM_shape7,370,233
,VIM_shape7,373,238
,VIM_shape7,376,242
,VIM_shape7,379,245
,VIM_shape7,380,244
,VIM_shape7,379,241
,VIM_shape7,376,237
,VIM_shape7,375,233
,VIM_shape7,375,227
,VIM_shape7,377,223
,VIM_shape7,379,216
,VIM_shape7,381,208
,VIM_shape7,382,204
,VIM_shape7,382,193
,VIM_shape7,381,192
,VIM_shape7,381,189
,VIM_shape7,381,184
,VIM_shape7,381,182
,VIM_shape7,382,179
,VIM_shape7,381,177
,VIM_shape8,58,308
,VIM_shape8,56,310
,VIM_shape8,58,314
,VIM_shape8,62,320
,VIM_shape8,63,326
,VIM_shape8,63,330
,VIM_shape8,63,334
,VIM_shape8,60,340
,VIM_shape8,56,343
,VIM_shape8,53,345
,VIM_shape8,53,347
,VIM_shape8,54,348
,VIM_shape8,58,349
,VIM_shape8,65,349
,VIM_shape8,77,356
,VIM_shape8,82,358
,VIM_shape8,94,361
,VIM_shape8,102,362
,VIM_shape8,106,365
,VIM_shape8,107,367
,VIM_shape8,112,369
,VIM_shape8,113,367
,VIM_shape8,116,368
,VIM_shape8,126,375
,VIM_shape8,133,381
,VIM_shape8,133,385
,VIM_shape8,133,390
,VIM_shape8,136,390
,VIM_shape8,137,389
,VIM_shape8,142,391
,VIM_shape8,146,392
,VIM_shape8,154,395
,VIM_shape8,158,398
,VIM_shape8,164,398
,VIM_shape8,174,402
,VIM_shape8,182,406
,VIM_shape8,184,409
,VIM_shape8,187,411
,VIM_shape8,199,413
,VIM_shape8,202,415
,VIM_shape8,211,419
,VIM_shape8,214,422
,VIM_shape8,215,424
,VIM_shape8,219,424
,VIM_shape8,225,424
,VIM_shape8,233,427
,VIM_shape8,241,428
,VIM_shape8,253,430
,VIM_shape8,259,433
,VIM_shape8,258,438
,VIM_shape8,254,443
,VIM_shape8,252,449
,VIM_shape8,253,450
,VIM_shape8,252,452
,VIM_shape8,251,455
,VIM_shape8,249,458
,VIM_shape8,252,454
,VIM_shape8,254,450
,VIM_shape8,256,445
,VIM_shape8,258,442
,VIM_shape8,261,438
,VIM_shape8,264,434
,VIM_shape8,272,431
,VIM_shape8,282,432
,VIM_shape8,290,435
,VIM_shape8,304,438
,VIM_shape8,308,438
,VIM_shape8,321,440
,VIM_shape8,330,445
,VIM_shape8,334,447
,VIM_shape8,337,444
,VIM_shape8,344,444
,VIM_shape8,356,448
,VIM_shape8,366,449
,VIM_shape8,376,448
,VIM_shape8,386,448
,VIM_shape8,396,446
,VIM_shape8,404,444
,VIM_shape8,417,442
,VIM_shape8,428,441
,VIM_shape8,445,439
,VIM_shape8,449,442
,VIM_shape8,452,440
,VIM_shape8,454,438
,VIM_shape8,462,433
,VIM_shape8,471,432
,VIM_shape8,478,432
,VIM_shape8,487,433
,VIM_shape8,496,431
,VIM_shape8,511,423
,VIM_shape8,513,420
,VIM_shape8,517,417
,VIM_shape8,521,414
,VIM_shape8,532,410
,VIM_shape8,543,401
,VIM_shape8,548,399
,VIM_shape8,562,392
,VIM_shape8,568,390
,VIM_shape8,570,327
,VIM_shape8,564,333
,VIM_shape8,558,339
,VIM_shape8,556,344
,VIM_shape8,547,352
,VIM_shape8,542,355
,VIM_shape8,538,359
,VIM_shape8,530,365
,VIM_shape8,528,366
,VIM_shape8,526,369
,VIM_shape8,520,373
,VIM_shape8,513,377
,VIM_shape8,510,380
,VIM_shape8,502,385
,VIM_shape8,496,388
,VIM_shape8,492,390
,VIM_shape8,479,394
,VIM_shape8,468,396
,VIM_shape8,458,400
,VIM_shape8,452,402
,VIM_shape8,438,405
,VIM_shape8,424,408
,VIM_shape8,416,410
,VIM_shape8,406,411
,VIM_shape8,396,411
,VIM_shape8,382,411
,VIM_shape8,373,411
,VIM_shape8,364,410
,VIM_shape8,360,408
,VIM_shape8,354,406
,VIM_shape8,348,405
,VIM_shape8,336,401
,VIM_shape8,331,396
,VIM_shape8,326,389
,VIM_shape8,324,390
,VIM_shape8,317,392
,VIM_shape8,305,392
,VIM_shape8,284,392
,VIM_shape8,261,392
,VIM_shape8,246,390
,VIM_shape8,231,388
,VIM_shape8,217,384
,VIM_shape8,203,375
,VIM_shape8,191,374
,VIM_shape8,177,372
,VIM_shape8,160,368
,VIM_shape8,151,362
,VIM_shape8,145,359
,VIM_shape8,129,348
,VIM_shape8,116,338
,VIM_shape8,100,326
,VIM_shape8,84,315
,VIM_shape8,68,311
,VIM_shape8,63,309
,VIM_shape8,61,309
,VIM_shape8,59,309
,VIM_shape8,57,310
,VIM_shape8,58,308
,VIM_shape9,8,442
,VIM_shape9,5,442
,VIM_shape9,6,232
